Time_of_Day_Minutes,Day_of_Week,Distance_KM,Trip_Duration_Sec,Num_Stops,Trip_ID
473,3,18.702441164163524,2126,9,T0121
517,3,17.064636895257433,2421,8,T0107
482,2,17.72057731757792,2098,10,T0019
1422,7,5.455577965346616,3110,14,T0447
891,5,2.463767073378211,1178,6,T0373
466,3,15.770337355289467,2875,8,T0218
785,1,6.437359978568572,682,9,T0250
880,2,1.7344579066833445,894,12,T0321
1333,5,11.846232328570345,2749,4,T0498
788,6,4.987352015773398,1418,6,T0316
475,5,15.613517067980652,2725,3,T0058
1341,7,11.857772254241429,3149,7,T0443
714,4,6.350846495584116,1291,12,T0388
491,2,13.340468738615694,2054,9,T0136
682,4,6.106028697296948,1171,5,T0263
830,6,4.287952324076688,1491,9,T0305
443,5,12.838130930889694,2904,10,T0004
758,4,2.740515370836191,1381,7,T0403
774,6,5.246054278525536,668,7,T0234
1358,5,8.064163666397775,3383,11,T0477
436,5,10.131032187986271,2741,5,T0164
516,2,16.536652968785667,2353,9,T0052
41,7,10.988103337567784,3356,6,T0474
456,2,9.156021511383745,2631,8,T0222
1310,7,9.089774279853561,2652,15,T0464
502,4,19.96429329090732,3534,7,T0083
528,5,16.988621098073395,3067,9,T0187
1390,7,7.058668194977324,3559,14,T0470
505,4,10.973390241087381,1903,5,T0034
1412,6,10.62297138388876,4000,9,T0478
470,2,11.651490770502845,2398,9,T0029
747,4,6.877573211742886,1467,6,T0312
1410,6,5.69952659513504,2819,14,T0429
720,7,5.095723208527972,750,9,T0352
464,2,18.873477277770405,2894,7,T0227
432,5,10.758183040712554,3072,4,T0022
837,5,4.326743243795385,616,11,T0358
47,7,11.703067377352102,3611,11,T0436
441,2,16.50416330130908,2852,8,T0014
689,3,4.15730995647637,1372,7,T0232
1272,7,11.903650918807582,2791,13,T0467
790,1,6.186728672039088,1241,9,T0242
770,4,4.5332592376975525,1456,12,T0359
446,2,10.449173090680015,2079,4,T0054
695,7,1.9252844115412948,1135,9,T0390
830,3,6.279102395056055,798,11,T0323
1339,5,9.792697219817377,3000,10,T0427
862,4,4.563306961672865,1280,6,T0299
517,3,9.98971809139349,3151,3,T0150
538,5,10.239838631146489,3088,7,T0134
896,7,6.891917495725806,1315,6,T0297
1405,5,7.132496960598322,3297,9,T0488
48,7,9.094469777338833,3046,6,T0475
535,2,13.56052025250804,2766,3,T0016
465,5,17.95151076012312,1918,4,T0017
494,4,18.09159908056462,1820,9,T0080
432,5,17.969306177960885,2019,6,T0186
807,5,3.683524731362758,1482,7,T0392
737,6,6.111840504391071,942,7,T0248
1348,7,8.9093440703465,3580,10,T0493
488,4,10.41160180156061,2587,8,T0090
3,7,6.070731130677402,3065,8,T0411
504,2,19.153771728118286,2544,5,T0012
807,3,2.5780303534760733,885,5,T0231
681,4,3.518654049150253,1462,11,T0370
797,7,6.067595434138763,888,6,T0389
532,3,16.630322164950762,2816,9,T0148
794,1,2.6676321075645792,1129,6,T0293
506,2,17.390213161845715,3426,3,T0112
459,5,14.757479661506064,3565,8,T0128
1262,5,11.057945894202192,3365,4,T0425
464,3,8.671465295127277,2257,5,T0163
1308,7,5.749421777159023,3479,11,T0484
498,2,19.600002262195826,2285,9,T0199
446,5,11.885379747572374,2840,5,T0007
822,4,4.366713119859379,1259,12,T0347
35,7,8.273609798436029,2666,10,T0440
29,7,8.836234234928924,2417,11,T0492
503,3,12.810309261254618,2568,7,T0103
487,4,16.38883298137252,3047,9,T0064
490,4,10.687094447646482,3414,5,T0056
826,7,2.2670405189373173,693,6,T0384
708,2,4.295522053051314,964,7,T0308
1305,5,10.511273739310532,2777,11,T0424
727,6,3.0745795114060814,1223,7,T0251
510,1,8.939557447811394,2958,7,T0079
5,7,10.26511141371784,4038,14,T0461
1262,7,5.556237374720994,3492,7,T0453
498,4,8.554660490488669,2241,5,T0145
1421,7,5.996619661216529,2614,4,T0442
422,5,15.14916951238504,1803,9,T0072
441,1,12.841349329052228,3308,6,T0045
742,4,4.219365692887838,791,12,T0273
1435,7,10.647508993248822,3813,12,T0423
824,2,4.206919630445782,868,10,T0255
480,3,9.789902518319305,2054,8,T0172
883,2,4.312082603600334,1248,9,T0326
1294,7,6.070644193453532,2766,12,T0463
484,1,15.360472372062455,3390,7,T0197
442,4,16.850929000158033,3217,4,T0059
447,5,17.253501097739157,1858,6,T0084
699,6,2.558000701962695,1171,7,T0265
662,7,3.1025935078367874,1078,11,T0356
1420,6,8.796356683044623,2701,11,T0479
701,3,5.862318204848896,1278,7,T0353
528,3,18.021241871061743,2323,3,T0140
875,7,3.923867871545551,819,8,T0363
448,5,9.211835379480194,2236,8,T0183
496,2,12.982545216436247,3460,7,T0039
455,4,11.801869794684198,2122,9,T0220
898,4,4.368365333571076,1296,10,T0310
506,3,12.380632142664918,1884,5,T0144
794,4,4.451462967846632,951,12,T0257
1367,7,5.953560967475707,3610,13,T0450
477,5,11.044711310425077,3404,9,T0023
880,1,5.43528233884439,852,7,T0334
862,2,6.974190341145978,1169,10,T0278
756,1,5.886035020433064,953,8,T0306
708,7,4.47174312130695,1148,9,T0256
523,5,14.823959027273725,3022,4,T0226
792,7,4.222833633664685,833,6,T0398
451,3,12.781512025953733,2144,10,T0228
432,4,16.466366582078223,2027,5,T0115
1341,5,7.641485349834308,2499,10,T0482
535,5,19.740089930774417,3009,10,T0193
674,6,1.5735914029720655,956,10,T0393
900,7,3.576511464992271,883,6,T0233
528,1,19.18181395541002,2158,7,T0100
1373,6,6.757836264342053,2726,5,T0432
893,7,5.324116741674869,932,5,T0365
843,3,3.50714395796831,647,10,T0283
519,1,16.048274424321576,1815,10,T0160
519,1,18.87283527374246,1940,4,T0126
778,1,2.1310708821791007,674,5,T0345
509,4,18.71631806497479,3265,8,T0132
509,5,19.743261315926624,2560,7,T0223
1294,7,7.488252445164228,4494,12,T0458
680,6,3.213729358541511,649,11,T0339
504,2,18.29703448461377,2146,4,T0216
782,5,3.608713830296936,929,6,T0325
743,6,6.956798939643909,1044,10,T0340
18,5,10.975895054479931,3809,4,T0459
737,7,6.479857621708584,1360,12,T0239
811,4,5.066922714252307,1213,7,T0268
762,5,6.34079603219172,758,6,T0374
1295,7,7.264103092331261,2932,11,T0483
520,1,16.64960261043154,2310,5,T0169
534,5,17.187923017904282,3456,9,T0011
1331,5,8.774555471976704,4265,7,T0428
699,5,4.156194495512717,825,10,T0383
875,4,3.963032762910008,701,10,T0381
473,3,14.014607829894778,2366,9,T0161
761,3,6.2466545559274245,1107,7,T0320
717,3,6.579776323579631,903,5,T0409
676,2,3.036870895439646,1229,10,T0327
523,1,11.549779573357334,2104,3,T0094
473,3,12.269997007698917,2772,10,T0138
660,2,1.6463838212856095,944,12,T0313
438,5,13.393811672309301,2361,6,T0105
1267,5,9.841882745933765,3759,7,T0415
453,1,16.570008093049047,1840,10,T0206
