Time_of_Day_Minutes,Day_of_Week,Distance_KM,Trip_Duration_Sec,Num_Stops,Trip_ID,Cluster
824,4,1.6322095439721178,1255,6,T0343,2
898,4,5.558289956464197,727,6,T0279,2
1368,7,9.443476088032536,3332,9,T0431,1
431,3,8.430298875854158,3271,9,T0027,0
1318,5,9.061497629754932,4146,5,T0420,1
673,7,4.801773418129072,1052,10,T0314,2
797,2,4.245966619444371,1368,7,T0270,2
474,5,9.971378660285312,2036,3,T0190,0
495,4,8.386592141812052,1894,10,T0124,2
831,3,2.0663525558856906,1148,6,T0349,2
871,1,4.002149975357845,961,12,T0304,2
428,2,14.508579928657918,1883,8,T0006,0
873,7,6.839172853326269,1255,10,T0354,2
425,5,8.175755262700187,2327,4,T0152,0
854,4,4.432366612395629,1300,8,T0272,2
422,5,9.906787557549084,1964,8,T0137,0
447,1,11.73922565966875,2859,6,T0067,0
838,4,5.363053336933285,1482,11,T0290,2
857,2,3.7695872891742304,1226,10,T0346,2
676,1,6.480787091052638,793,12,T0404,2
1417,5,8.67938379346576,3816,4,T0438,1
443,3,16.067842239385463,2344,10,T0041,0
526,5,12.41106976265171,1803,5,T0015,0
488,3,19.895455902409942,2014,6,T0154,0
891,3,4.925582474765761,1055,11,T0230,2
444,2,13.63956626297501,3493,9,T0158,0
421,4,12.72782477600934,3393,10,T0050,0
1292,6,6.245182535068073,4049,8,T0417,1
533,3,8.20691279719143,1915,10,T0202,2
487,2,16.752617337133913,2997,8,T0114,0
757,6,4.248474991262744,1103,11,T0378,2
1320,6,5.621138387804397,4089,8,T0414,1
540,5,8.630548268395014,3274,5,T0095,0
493,5,19.43043358983648,2577,7,T0188,0
508,5,12.530561851279671,3163,8,T0074,0
487,2,11.777859215302254,2763,3,T0157,0
822,3,1.5067677482660975,1014,9,T0405,2
1393,7,8.023386104760846,3885,12,T0497,1
474,2,12.650001405859436,2667,10,T0173,0
1350,7,10.330005091825626,4716,15,T0418,1
500,2,12.814844845578149,3560,4,T0077,0
498,5,13.838767762647102,3464,9,T0213,0
433,5,18.262260402317487,2364,5,T0070,0
1337,7,11.017259405077336,4440,12,T0451,1
672,7,5.673690496794724,904,9,T0241,2
1397,6,7.531200194998503,4365,14,T0491,1
512,4,9.37730673390529,2702,4,T0078,0
691,3,5.980004954283178,1226,6,T0364,2
494,5,8.6725919318074,3157,7,T0125,0
871,4,3.388836195820532,1091,8,T0355,2
689,6,4.091918960844654,909,12,T0329,2
821,6,6.818234940411029,1367,12,T0394,2
812,2,6.858683348999343,1396,9,T0277,2
491,1,11.355534976093043,2967,8,T0171,0
11,7,5.068399266781068,2568,7,T0456,0
784,4,5.678557063624727,1116,7,T0286,2
1413,7,6.88546546571938,3108,6,T0496,1
820,5,6.788749509343203,1035,11,T0344,2
530,5,19.8482655638574,2547,7,T0211,0
488,1,9.264215273169334,2006,8,T0205,0
422,1,17.461080457054667,3026,7,T0082,0
837,3,3.474451073161617,1178,12,T0387,2
426,5,17.997126762280303,1917,8,T0091,0
521,5,12.19805805762756,2598,4,T0096,0
669,7,6.895637260550131,1389,11,T0407,2
895,5,4.242930488728646,1099,11,T0400,2
674,6,4.375266285860942,1158,6,T0366,2
662,1,6.12640921824007,821,7,T0301,2
535,2,11.817668015526284,3197,9,T0168,0
490,5,10.733337831304116,2947,10,T0119,0
793,3,4.780044237672664,749,10,T0303,2
424,1,19.8058954202344,2173,6,T0149,0
436,1,18.39774629979472,2943,5,T0008,0
498,5,13.917096496731716,1916,6,T0167,0
811,1,2.005135320868429,659,10,T0240,2
473,3,12.266685728294249,2126,8,T0198,0
698,1,1.8233289255820564,925,5,T0235,2
533,4,12.99116740249266,2992,6,T0076,0
707,1,2.911386034378164,1454,6,T0287,2
38,6,9.679115340940282,4123,9,T0466,0
474,4,15.553698950211858,2603,9,T0159,0
1339,6,10.832395358398166,3965,15,T0469,1
453,4,13.150925639021768,2546,3,T0200,0
1380,6,7.136347521886195,3082,4,T0416,1
465,2,14.385901509987304,2196,7,T0038,0
523,2,9.874488487227492,2921,8,T0075,0
439,2,11.38985616984722,2562,9,T0203,0
1432,7,6.456704214042031,2407,9,T0460,1
470,5,19.665788822893724,1918,5,T0071,0
466,3,16.397874402979326,3112,8,T0037,0
440,3,8.76833103269936,2146,9,T0194,0
856,1,5.296582648582434,924,6,T0275,2
540,5,12.387603593666167,2327,5,T0120,0
1423,7,7.280510550848462,3231,14,T0473,1
703,6,5.602702223150924,1498,12,T0406,2
740,5,1.7286513067427478,845,12,T0266,2
477,5,14.190623156368282,1977,10,T0109,0
1362,6,7.021591529008813,3557,15,T0444,1
660,2,2.894770621559841,628,5,T0386,2
524,1,13.746317145243172,2976,10,T0208,0
735,1,6.830162567530567,659,12,T0307,2
1278,7,9.498280423600455,4453,6,T0419,1
815,1,4.84227664097591,603,8,T0369,2
479,4,18.314574129506017,3478,9,T0010,0
461,5,15.261369110092613,2302,3,T0177,0
454,5,8.429967910455806,2273,9,T0196,0
477,3,12.112891585311504,3461,3,T0111,0
761,2,2.033635200545306,1495,6,T0371,2
799,5,2.560963873945296,1454,11,T0379,2
672,5,5.434915337912571,1045,6,T0252,2
427,5,11.30117453811225,2989,3,T0032,0
502,1,16.098825872893272,2565,8,T0201,0
810,7,5.465548553308132,1437,5,T0362,2
497,3,12.68695118854888,1881,4,T0030,0
869,5,5.953866272537134,1194,8,T0385,2
45,7,6.200289174491321,4707,7,T0433,0
1286,7,6.817857471299318,3305,11,T0441,1
494,3,9.091750485710584,1911,3,T0085,0
533,3,15.65683747922363,3264,5,T0127,0
510,1,14.939776559970255,2882,7,T0175,0
485,2,11.856159220008744,2373,6,T0156,0
1371,5,7.287477880781392,4468,7,T0439,1
428,1,13.438223811109305,2780,9,T0195,0
538,2,13.014752974205836,3214,6,T0113,0
440,2,11.678400518774188,2465,3,T0143,0
481,3,16.098324202964967,2736,4,T0104,0
664,5,4.599517315361222,999,5,T0319,2
711,7,4.262212676912611,885,8,T0244,2
518,3,14.05537656584748,2058,7,T0224,0
484,4,9.046656454680011,3167,4,T0069,0
442,5,11.049200477641431,2328,3,T0099,0
455,5,13.040322452647096,2298,7,T0068,0
875,4,6.561127699524733,805,9,T0288,2
438,3,15.63616261454657,2347,3,T0028,0
430,1,15.425970566349465,3045,8,T0098,0
452,1,15.948924367639863,2316,4,T0048,0
485,5,14.959447062829575,3269,4,T0036,0
432,1,11.724141293164257,2307,7,T0087,0
1358,6,7.231164350877933,3472,12,T0449,1
817,7,6.672514430257383,613,10,T0262,2
472,1,9.032022139556313,3343,5,T0097,0
449,1,16.03715528674727,3587,10,T0123,0
519,3,8.297988970548841,3262,9,T0009,0
1320,7,6.102335837787359,3354,4,T0446,1
515,2,13.67363901251722,3596,6,T0060,0
464,3,8.81322275173322,2038,8,T0131,0
888,4,3.045870359884701,709,8,T0261,2
494,1,19.627196126429386,2874,10,T0061,0
485,1,17.920787136737616,3072,6,T0110,0
826,7,1.953661867021437,943,5,T0300,2
443,2,19.939212077483084,1857,4,T0178,0
508,3,8.330751758995039,2068,10,T0001,0
869,5,6.283684564314614,1018,5,T0367,2
854,5,6.492268378771306,1456,6,T0402,2
424,1,11.299155704212534,1899,8,T0170,0
540,3,9.627594877605096,3397,4,T0081,0
506,5,11.183389115863736,2248,5,T0180,0
486,3,18.019186216954424,2371,10,T0108,0
521,5,10.223279846604386,2769,7,T0229,0
536,1,13.352089468528783,2984,10,T0215,0
701,4,5.066314511377852,678,9,T0333,2
471,1,10.470570716088906,3526,9,T0142,0
1433,7,11.913951137335395,2806,5,T0445,1
696,3,3.166221288413065,852,6,T0289,2
807,4,4.163966177813325,1225,11,T0260,2
672,7,2.529621181350709,912,6,T0291,2
488,1,16.675473793990275,3257,10,T0162,0
485,5,12.5989423465585,1817,8,T0122,0
1335,7,9.68632847934458,3318,9,T0437,1
493,4,17.70742943149444,2507,6,T0181,0
531,5,8.266631309551899,2511,4,T0179,0
1277,7,8.701772624492143,4755,11,T0465,1
694,1,1.7961670252662387,1083,9,T0274,2
888,5,4.971530766496693,1447,8,T0382,2
499,5,8.958343846371783,3208,5,T0141,0
773,4,2.414575021669548,1492,10,T0271,2
1285,5,5.696389349254841,3922,6,T0430,1
701,6,2.101037784824021,785,11,T0309,2
859,1,3.4256834788103765,858,10,T0295,2
499,5,9.623333672910835,2912,3,T0155,0
1351,5,5.30051334489597,2990,5,T0485,1
420,5,9.839533471102312,2787,10,T0089,0
536,4,9.710514621495207,2903,4,T0135,0
1437,6,6.090138972894517,3861,7,T0495,1
423,5,10.2119119760857,2095,9,T0165,0
843,6,3.418648579484394,1479,9,T0380,2
679,4,2.400293018742558,768,12,T0391,2
510,2,18.308048006218502,3202,5,T0204,0
701,1,4.540494015389522,1455,12,T0328,2
461,1,12.181260218623583,2123,8,T0093,0
535,2,14.944826222488985,2308,9,T0018,0
508,5,15.234892368929188,1833,6,T0024,0
491,1,10.315218654673515,3112,9,T0117,0
777,6,1.932747038035313,733,5,T0336,2
473,3,18.702441164163524,2126,9,T0121,0
517,3,17.064636895257433,2421,8,T0107,0
482,2,17.72057731757792,2098,10,T0019,0
1422,7,5.455577965346616,3110,14,T0447,1
891,5,2.463767073378211,1178,6,T0373,2
466,3,15.770337355289469,2875,8,T0218,0
785,1,6.437359978568572,682,9,T0250,2
880,2,1.7344579066833443,894,12,T0321,2
1333,5,11.846232328570345,2749,4,T0498,1
788,6,4.987352015773398,1418,6,T0316,2
475,5,15.613517067980652,2725,3,T0058,0
1341,7,11.857772254241429,3149,7,T0443,1
714,4,6.350846495584116,1291,12,T0388,2
491,2,13.340468738615694,2054,9,T0136,0
682,4,6.106028697296948,1171,5,T0263,2
830,6,4.287952324076688,1491,9,T0305,2
443,5,12.838130930889694,2904,10,T0004,0
758,4,2.740515370836191,1381,7,T0403,2
774,6,5.246054278525536,668,7,T0234,2
1358,5,8.064163666397775,3383,11,T0477,1
436,5,10.131032187986271,2741,5,T0164,0
516,2,16.536652968785667,2353,9,T0052,0
41,7,10.988103337567784,3356,6,T0474,0
456,2,9.156021511383743,2631,8,T0222,0
1310,7,9.08977427985356,2652,15,T0464,1
502,4,19.96429329090732,3534,7,T0083,0
528,5,16.988621098073395,3067,9,T0187,0
1390,7,7.058668194977324,3559,14,T0470,1
505,4,10.97339024108738,1903,5,T0034,0
1412,6,10.62297138388876,4000,9,T0478,1
470,2,11.651490770502845,2398,9,T0029,0
747,4,6.877573211742886,1467,6,T0312,2
1410,6,5.69952659513504,2819,14,T0429,1
720,7,5.095723208527972,750,9,T0352,2
464,2,18.873477277770405,2894,7,T0227,0
432,5,10.758183040712554,3072,4,T0022,0
837,5,4.326743243795385,616,11,T0358,2
47,7,11.703067377352102,3611,11,T0436,0
441,2,16.50416330130908,2852,8,T0014,0
689,3,4.15730995647637,1372,7,T0232,2
1272,7,11.903650918807582,2791,13,T0467,1
790,1,6.186728672039088,1241,9,T0242,2
770,4,4.5332592376975525,1456,12,T0359,2
446,2,10.449173090680016,2079,4,T0054,0
695,7,1.9252844115412948,1135,9,T0390,2
830,3,6.279102395056055,798,11,T0323,2
1339,5,9.792697219817375,3000,10,T0427,1
862,4,4.563306961672865,1280,6,T0299,2
517,3,9.98971809139349,3151,3,T0150,0
538,5,10.239838631146489,3088,7,T0134,0
896,7,6.891917495725806,1315,6,T0297,2
1405,5,7.132496960598322,3297,9,T0488,1
48,7,9.094469777338832,3046,6,T0475,0
535,2,13.56052025250804,2766,3,T0016,0
465,5,17.95151076012312,1918,4,T0017,0
494,4,18.09159908056462,1820,9,T0080,0
432,5,17.969306177960885,2019,6,T0186,0
807,5,3.683524731362758,1482,7,T0392,2
737,6,6.111840504391071,942,7,T0248,2
1348,7,8.9093440703465,3580,10,T0493,1
488,4,10.41160180156061,2587,8,T0090,0
3,7,6.070731130677402,3065,8,T0411,0
504,2,19.153771728118286,2544,5,T0012,0
807,3,2.5780303534760733,885,5,T0231,2
681,4,3.518654049150253,1462,11,T0370,2
797,7,6.067595434138763,888,6,T0389,2
532,3,16.630322164950762,2816,9,T0148,0
794,1,2.6676321075645792,1129,6,T0293,2
506,2,17.390213161845715,3426,3,T0112,0
459,5,14.757479661506064,3565,8,T0128,0
1262,5,11.057945894202192,3365,4,T0425,1
464,3,8.671465295127277,2257,5,T0163,0
1308,7,5.749421777159023,3479,11,T0484,1
498,2,19.600002262195822,2285,9,T0199,0
446,5,11.885379747572374,2840,5,T0007,0
822,4,4.366713119859379,1259,12,T0347,2
35,7,8.273609798436029,2666,10,T0440,0
29,7,8.836234234928924,2417,11,T0492,0
503,3,12.810309261254618,2568,7,T0103,0
487,4,16.38883298137252,3047,9,T0064,0
490,4,10.687094447646482,3414,5,T0056,0
826,7,2.2670405189373173,693,6,T0384,2
708,2,4.295522053051314,964,7,T0308,2
1305,5,10.511273739310532,2777,11,T0424,1
727,6,3.074579511406081,1223,7,T0251,2
510,1,8.939557447811394,2958,7,T0079,0
5,7,10.26511141371784,4038,14,T0461,0
1262,7,5.556237374720994,3492,7,T0453,1
498,4,8.554660490488669,2241,5,T0145,0
1421,7,5.996619661216529,2614,4,T0442,1
422,5,15.14916951238504,1803,9,T0072,0
441,1,12.841349329052228,3308,6,T0045,0
742,4,4.219365692887838,791,12,T0273,2
1435,7,10.647508993248822,3813,12,T0423,1
824,2,4.206919630445782,868,10,T0255,2
480,3,9.789902518319304,2054,8,T0172,0
883,2,4.312082603600334,1248,9,T0326,2
1294,7,6.070644193453532,2766,12,T0463,1
484,1,15.360472372062455,3390,7,T0197,0
442,4,16.850929000158033,3217,4,T0059,0
447,5,17.253501097739157,1858,6,T0084,0
699,6,2.558000701962695,1171,7,T0265,2
662,7,3.1025935078367874,1078,11,T0356,2
1420,6,8.796356683044623,2701,11,T0479,1
701,3,5.862318204848896,1278,7,T0353,2
528,3,18.021241871061743,2323,3,T0140,0
875,7,3.923867871545551,819,8,T0363,2
448,5,9.211835379480194,2236,8,T0183,0
496,2,12.982545216436248,3460,7,T0039,0
455,4,11.801869794684198,2122,9,T0220,0
898,4,4.368365333571076,1296,10,T0310,2
506,3,12.380632142664918,1884,5,T0144,0
794,4,4.451462967846632,951,12,T0257,2
1367,7,5.953560967475707,3610,13,T0450,1
477,5,11.044711310425075,3404,9,T0023,0
880,1,5.43528233884439,852,7,T0334,2
862,2,6.974190341145978,1169,10,T0278,2
756,1,5.886035020433064,953,8,T0306,2
708,7,4.47174312130695,1148,9,T0256,2
523,5,14.823959027273723,3022,4,T0226,0
792,7,4.222833633664685,833,6,T0398,2
451,3,12.781512025953733,2144,10,T0228,0
432,4,16.466366582078223,2027,5,T0115,0
1341,5,7.641485349834308,2499,10,T0482,1
535,5,19.740089930774417,3009,10,T0193,0
674,6,1.5735914029720657,956,10,T0393,2
900,7,3.576511464992271,883,6,T0233,2
528,1,19.18181395541002,2158,7,T0100,0
1373,6,6.757836264342053,2726,5,T0432,1
893,7,5.324116741674869,932,5,T0365,2
843,3,3.50714395796831,647,10,T0283,2
519,1,16.048274424321576,1815,10,T0160,0
519,1,18.87283527374246,1940,4,T0126,0
778,1,2.1310708821791007,674,5,T0345,2
509,4,18.71631806497479,3265,8,T0132,0
509,5,19.743261315926624,2560,7,T0223,0
1294,7,7.488252445164228,4494,12,T0458,1
680,6,3.213729358541511,649,11,T0339,2
504,2,18.29703448461377,2146,4,T0216,0
782,5,3.608713830296936,929,6,T0325,2
743,6,6.956798939643909,1044,10,T0340,2
18,5,10.975895054479931,3809,4,T0459,0
737,7,6.479857621708584,1360,12,T0239,2
811,4,5.066922714252307,1213,7,T0268,2
762,5,6.34079603219172,758,6,T0374,2
1295,7,7.264103092331261,2932,11,T0483,1
520,1,16.64960261043154,2310,5,T0169,0
534,5,17.187923017904282,3456,9,T0011,0
1331,5,8.774555471976704,4265,7,T0428,1
699,5,4.156194495512717,825,10,T0383,2
875,4,3.963032762910008,701,10,T0381,2
473,3,14.014607829894778,2366,9,T0161,0
761,3,6.2466545559274245,1107,7,T0320,2
717,3,6.579776323579631,903,5,T0409,2
676,2,3.036870895439646,1229,10,T0327,2
523,1,11.549779573357334,2104,3,T0094,0
473,3,12.269997007698915,2772,10,T0138,0
660,2,1.6463838212856097,944,12,T0313,2
438,5,13.3938116723093,2361,6,T0105,0
1267,5,9.841882745933765,3759,7,T0415,1
453,1,16.570008093049047,1840,10,T0206,0
